count	reward_sum	squared_reward_sum	length
429	-80.46161885406413	6.07950207767135	2000
430	-123.04425474805967	10010.744685339112	872
431	-15.874437971170135	24.748804142568687	2000
432	-98.22307034444054	10008.418359641173	237
433	-46.72649030926665	19.543780722041998	2000
434	-82.86721178237741	10007.688119656988	665
435	-90.76830266111655	10003.154691686568	195
436	-86.92806173933499	10003.378042843558	185
437	-74.54132330426678	10006.85709439182	361
438	-95.53869536050355	10004.017264362006	265
439	-73.55018152792285	10007.68225850876	243
440	-99.27859069007506	10012.460484646506	522
441	-134.60611925440654	10007.770582796707	786
442	-91.81454726322524	10007.47776379599	270
443	-81.4183673804971	10009.359780968434	363
444	-77.59205506861997	3.801517354452604	2000
445	-183.67194328839116	10017.136678884306	1888
446	-64.21407438475107	10014.005861531361	456
447	-89.1450699838113	10003.232499118516	193
448	-43.84895754423197	10.100443724702501	2000
449	-33.74511571720744	26.388235710273317	2000
450	-105.3616919895724	10010.934757230754	1070
451	-47.095843337369004	30.072839907899915	2000
452	-111.45677361611128	10008.245985527414	625
453	-19.776437060699774	23.301937263483847	2000
454	-202.41991106659614	10013.680087850835	1627
455	-105.70483398177029	11.876524956532554	2000
456	-132.05065260066104	10009.767912342006	1122
457	-72.08859052210606	10.46073000236901	2000
458	-60.5736035885153	5.544523363006757	2000
459	-95.76563386152807	10003.26076221004	263
460	-78.64745115699587	15.5134271785424	2000
461	-4.746222890120312	25.7121265827937	2000
462	-44.38524395582015	8.297371609235128	2000
463	-86.38843102519786	7.724241209534916	2000
464	-73.73491512898053	4.4060722037669615	2000
465	-67.42511703281363	3.2201968351177723	2000
466	-125.56167708044455	10003.425337469589	1029
467	-74.35793770804037	5.884367389228267	2000
468	-80.13215458786063	8.425639636811237	2000
469	-86.23157399385862	9.51217355339644	2000
470	-133.2210505963543	10005.529721591787	1075
471	-31.867956337685108	15.294563056242255	2000
472	-97.71343929137153	10001.930583976186	408
473	-95.45993617033983	10004.95539192128	787
474	-63.44361563450573	17.1332752437554	2000
475	-56.96546783821353	10012.645236835335	1313
476	-98.46030551466711	10002.835124234754	372
477	-72.2357257219389	9.662083620058986	2000
478	-120.57738889263385	10008.484502950629	1191
479	-104.62221838695287	10003.800281063704	441
480	-91.04371575176575	10002.37649072085	86
481	-91.35053520260684	10002.207377406636	217
482	-72.86070797353175	7.582433790403385	2000
483	-105.43814501612923	10013.293931429444	979
484	-91.29356344565787	10004.03061874568	131
485	-115.20419126325103	10011.190794762162	1227
486	-87.78018599981917	10003.414853836595	229
487	-123.04058126350957	10009.311621436005	992
488	-71.12582883794394	10022.174829030262	1687
489	-62.576583402036825	3.6937428169676525	2000
490	-87.46559102337507	10013.154248028486	747
491	-40.31847409537778	9.44998669035232	2000
492	-91.87038949858437	10002.635937598128	359
493	-88.73188802401513	10003.115502659031	236
494	-90.94573005369826	10001.942164752101	255
495	-67.60948053391544	10007.134433316553	514
496	-92.9532079216853	10004.29814637144	235
497	-75.98157277720205	25.05304148271242	2000
498	-48.81618438280085	10012.91139160284	661
499	-53.15642330805434	10013.867737433631	408
500	-100.59482379727748	10017.464472240685	1904
501	-89.85951297113549	10002.57854888291	205
502	-84.30193979979063	10003.937160709522	347
503	-68.80872473430136	10008.793828216974	628
504	-144.21037693902835	10018.787120120014	1193
505	-65.35280250262679	31.458189728004992	2000
506	-74.60833544851448	10012.06003924421	837
507	-78.66395615720529	10.008634095954443	2000
508	-157.52665183963902	10009.175733874828	1737
509	-82.51976276993695	16.72663457242979	2000
510	-74.20753384534272	10014.722911081159	685
511	-91.27560926718746	10005.405053188057	226
512	-80.98228699422305	10007.58859897513	558
513	-89.68214338282228	10002.584380403754	214
514	-64.3339230119485	11.897022730389226	2000
515	-51.38133513165573	28.804022945158128	2000
516	-111.03234025891045	21.070246347424572	2000
517	-72.69711211270639	35.70407974659778	2000
518	-86.40537625116593	10007.461065967538	153
519	-86.17237816699243	10025.061609792452	1045
520	-94.87474274399726	10009.232466355375	284
521	-89.45033648486886	10014.18483548328	524
522	-89.41427730046952	10007.693718480532	181
523	-97.9029373916544	10007.183501208543	389
524	-74.08970171402527	19.41634648794198	2000
525	-73.69055731261726	4.534237043640419	2000
526	-105.91252276243324	10004.384451729255	541
527	-63.149364183389906	10.299518396773854	2000
528	-73.12556386070214	13.218456191696864	2000
529	-108.78310354126494	21.5084022843652	2000
530	-80.27097661941808	8.01068940932772	2000
531	-79.33302016118472	13.759635556573384	2000
532	-76.84422059934387	9.196091561637823	2000
533	-152.15792075247634	10010.475641421666	1815
534	-93.72966716000705	8.781776453310792	2000
535	-90.8951123721657	10013.216040325964	960
536	-34.63742911289945	14.698941656445822	2000
537	-56.050231034722955	17.294892741519313	2000
538	-97.09153202924576	19.663701408815538	2000
539	-86.16762671811603	20.35693382533374	2000
540	-96.72905327665826	10003.99527845655	202
