count	reward_sum	squared_reward_sum	length
190	-91.6482441713307	8.178808846731153	2000
191	-80.57491405166625	10.737665489606107	2000
192	-115.37830706558654	10003.085894731952	209
193	-74.92871378186196	12.093140136065278	2000
194	-108.3290407480004	10001.25149366221	115
195	-62.04715949055102	11.283707389950408	2000
196	-63.200895333465894	9.580654447745479	2000
197	-103.38074618706571	7.342555353727792	2000
198	-95.16394912631365	7.027668015366995	2000
199	-113.14439424180289	10.630119426143626	2000
200	-99.51409318455953	10.248587544364666	2000
201	-82.47971884180515	5.87326162733897	2000
202	-112.2492435219297	10003.904588685222	78
203	-91.74198292288423	7.811197094787714	2000
204	-85.94704709457206	8.27032333407192	2000
205	-87.13195945183551	8.309229950118482	2000
206	-82.33661654235603	8.913597794271425	2000
207	-73.48528469242707	8.123114798578605	2000
208	-78.34201026646265	6.675585867251701	2000
209	-81.70334768746449	8.004650457261542	2000
210	-111.92089236289323	10002.604811328769	93
211	-114.52327112854043	10004.145073449548	64
212	-72.19860140173256	6.950198396424796	2000
213	-84.94355522147264	8.936101137608995	2000
214	-114.91616130089994	10006.379734827475	106
215	-106.83480642240463	10005.309580496269	66
216	-71.64788766811162	5.1687261180367035	2000
217	-93.55298383742192	9.377663641718266	2000
218	-58.65491963379426	4.158342968109434	2000
219	-67.20055888132401	4.613470478865652	2000
220	-76.84887999751035	8.847918299988121	2000
221	-100.30047699345619	10003.933221516798	172
222	-91.23770100552174	7.740953112851701	2000
223	-69.19989270303519	10.416501281541755	2000
224	-96.70543285401484	10002.684791540412	101
225	-76.69888145254683	10.332195758241832	2000
226	-102.87995369394704	10003.037582727024	239
227	-57.544586626301424	14.569603696318685	2000
228	-72.12935618023853	13.824947472860632	2000
229	-98.48377088282196	10001.495471837123	82
230	-64.58761084069964	6.800383906713853	2000
231	-63.496632836957346	12.238309779352182	2000
232	-67.19372353356059	8.363694024634402	2000
233	-57.1375942562183	8.412250784333208	2000
234	-47.63822736382614	8.602976307834147	2000
235	-59.62670940347264	7.288430900782203	2000
236	-68.94088773689353	10.29887076065833	2000
237	-83.9385229801362	6.201455246116057	2000
238	-93.9499252616043	7.677082420963865	2000
239	-75.70268373676802	13.905062948090222	2000
240	-88.03355297323996	10006.357180717634	167
241	-92.51351297409563	13.539734495035715	2000
242	-72.59355901480446	10.96582076671028	2000
243	-67.69064371453611	14.444733606207356	2000
244	-67.34306231986734	11.204248970881101	2000
245	-53.46441454123496	12.970654834236798	2000
246	-77.83381184269066	6.9032498834397495	2000
247	-72.65503913897057	4.9998097822874685	2000
248	-71.52767636339385	10.151089512346118	2000
249	-66.99598752462312	6.575953609100004	2000
250	-70.93055739311768	5.3866136625378	2000
251	-99.10237315059501	5.765500400271272	2000
252	-102.71199451436884	6.639623131741918	2000
253	-46.94722689008165	5.411391240353003	2000
254	-55.2100082007265	7.9410263137971215	2000
255	-59.279320696688565	8.704239723257068	2000
256	-66.31230432629005	9.11111859556095	2000
257	-64.35396014385499	8.237676370993904	2000
258	-69.18762464812981	8.410055930173863	2000
259	-47.154297890759054	5.298053467132308	2000
260	-59.29268891407452	5.0205268776789245	2000
261	-40.418566552640996	4.498782450558493	2000
262	-61.60164630079454	9.59109511076624	2000
263	-57.59383692625555	11.71752712431756	2000
264	-57.97632834726375	5.878910271224257	2000
265	-56.57409130870995	6.36681990769009	2000
266	-68.65192049166184	6.568864655363272	2000
267	-57.8759606399952	8.492106912381097	2000
268	-47.07982276636152	7.529296076482829	2000
269	-58.06218243217066	11.074466415591326	2000
270	-71.86078215743018	14.91786007275116	2000
271	-59.406678531322164	11.109527651511728	2000
272	-69.5899206573905	11.375416855317772	2000
273	-50.66805970837783	5.5107809929162626	2000
274	-45.7517667876151	5.442030146315941	2000
275	-30.186658844153108	6.205145979726396	2000
276	-56.76937168936604	3.0342585453530484	2000
277	-61.318810433355544	12.683650677461193	2000
278	-62.53980604207413	9.86094837259544	2000
279	-58.30726634971568	3.059634911431438	2000
280	-74.0933629915547	8.557561822608761	2000
281	-50.15004208897722	4.100823853161804	2000
282	-85.64784914363644	6.023223092385027	2000
283	-67.67955029485763	4.963912253998072	2000
284	-53.785443564718044	6.000003618550745	2000
285	-54.84210253534992	8.841036748900537	2000
286	-44.361392416864526	6.1869443257399785	2000
287	-46.74661690112748	4.846569381459092	2000
288	-45.3676140396532	3.8462087601288566	2000
289	-40.91545029987445	3.9445712869757714	2000
290	-45.89501776064052	4.55853517667539	2000
291	-36.20804032320662	5.6997167487269405	2000
292	-60.072502179536215	6.102134701988307	2000
293	-42.77863638994017	5.245291214813659	2000
294	-38.889179201206254	8.2507163161753	2000
295	-43.925175433551686	6.190654143142305	2000
296	-34.412072677263566	6.189987139939155	2000
297	-41.45187092586849	5.994397594408572	2000
298	-41.26446526161157	6.977470327526427	2000
299	-119.7778146138476	10006.229975707322	85
300	-46.326504172612964	6.577183720361395	2000
301	-53.116653902400365	5.735594834017823	2000
302	-52.55425948337217	5.334689338316068	2000
303	-50.725840722342646	5.013286027530262	2000
304	-39.87620954994947	4.371400572659192	2000
305	-48.072114644090554	5.695095245210632	2000
306	-133.7446899305918	10007.318609513994	233
307	-62.55404252671724	5.166847501021589	2000
308	-47.969921264874074	13.716069995461751	2000
309	-50.1142047095796	4.989899211777384	2000
310	-40.449608727529224	5.383641694885466	2000
311	-37.78668086675747	7.482164598922456	2000
312	-34.660772358713935	5.403962079679355	2000
313	-54.81468589341885	14.93110162009759	2000
314	-31.188583589672803	5.717187198423528	2000
315	-42.04148060267758	5.959446286399873	2000
316	-40.32025786558491	6.2549253879733	2000
317	-34.21666922333555	5.001480668090356	2000
318	-42.5902224303558	5.3410752100184276	2000
319	-32.9615511072359	4.3031777325964615	2000
320	-35.40716562409558	4.50343046859314	2000
321	-40.03581285285444	3.196577817840579	2000
322	-55.237774139452526	4.431052411259757	2000
323	-38.59492239305671	4.122719630536074	2000
324	-36.64494405393544	5.270722818957316	2000
325	-117.88091899442053	10007.235688162564	68
326	-33.30768259830132	6.643605526970175	2000
327	-59.9506597813146	8.22754074900552	2000
328	-51.02672923006709	6.04150189689066	2000
329	-44.56727329784843	5.697440408574316	2000
330	-39.27102472818324	4.754833124987457	2000
331	-33.892836395717474	6.159651757030911	2000
332	-115.98948203832492	10004.933226550767	90
333	-45.77554493986843	11.295331681074	2000
334	-29.54615912130098	8.751576347575897	2000
335	-50.27490243561039	5.7509350533007835	2000
336	-48.32946291847476	5.121959083576544	2000
337	-50.48234043186816	6.024351568623194	2000
338	-41.22978508795777	4.84345981296885	2000
339	-44.67937976224328	3.882722001496382	2000
340	-77.37217325623074	11.289904774447155	2000
341	-63.26061971740685	4.342787862851733	2000
342	-60.920356043042716	4.059189000723995	2000
343	-48.67267899391503	5.156002638454219	2000
344	-44.544145201634954	5.812524120968953	2000
345	-49.479357848273914	5.584748285621126	2000
346	-117.64151790737279	10007.55585922511	64
347	-55.088063586417945	11.665929479176912	2000
348	-58.51145668731995	7.572120205876117	2000
349	-51.64002806129519	5.739693135168931	2000
350	-57.4270072086984	10.927068046246884	2000
351	-61.861783594544555	5.8836028508694485	2000
352	-46.285672463024326	7.389738484223297	2000
353	-57.31575765025494	6.818497618353835	2000
354	-46.711859808138016	6.324930405601348	2000
355	-40.407107283569346	6.5263521496073835	2000
356	-45.41724666107978	7.269223481793195	2000
357	-74.55363431358678	6.317451915105692	2000
358	-50.62562163735847	7.837145991162714	2000
359	-45.833802084410415	6.855010682718121	2000
360	-36.18164774086753	6.3674496914309024	2000
361	-33.80667742227082	8.487561626615165	2000
362	-43.73295865483783	9.494811523194995	2000
363	-56.001062669057404	14.64597103706044	2000
364	-83.43521067682033	9.648438386244948	2000
365	-77.4649634070576	8.25517590191608	2000
366	-53.26094322298255	6.343363467827565	2000
367	-49.020963450993314	5.267906968771008	2000
368	-108.58645743003737	10004.263119724437	486
369	-34.08728771166776	5.1762470778698	2000
370	-52.35393060696735	4.753387069772193	2000
371	-81.98371846963327	7.111500701405764	2000
372	-61.522540927198555	5.714313642769048	2000
373	-54.54181995779437	8.753396942157734	2000
374	-53.088862888842975	7.333865310319511	2000
375	-61.19101914608989	9.349863549096753	2000
376	-59.15668237662133	5.790843332035089	2000
377	-96.58320902048514	10002.28694658922	165
378	-65.84797485019571	7.5938057450277325	2000
379	-61.81013986765002	5.722517829431868	2000
380	-52.7411950612458	6.025398230466906	2000
381	-76.14448203734698	7.022583432899349	2000
382	-38.13945998505717	6.118882664294279	2000
383	-34.40752686775456	6.39445991146398	2000
384	-42.78712724350461	6.965910965130742	2000
385	-45.705210458254946	4.109580859121248	2000
386	-47.873406913584176	7.184081904781955	2000
387	-45.39092188725875	6.331669134488898	2000
388	-47.02995419007326	4.973962735534273	2000
389	-42.45145281925546	5.029731001445824	2000
390	-39.80481674497357	5.103933160728862	2000
391	-35.63619064529277	4.635634003085755	2000
392	-32.70835214770744	4.248906797542	2000
393	-30.30799031133831	7.798018065581491	2000
394	-32.71478491578511	5.191599820265605	2000
395	-32.64266546214629	6.864959952314315	2000
396	-35.78946976085417	5.309351777574526	2000
397	-34.99932686626396	6.258034875808729	2000
398	-37.40668666724483	6.649950093792897	2000
399	-33.44832532131844	6.547507353395254	2000
400	-65.26588957505317	5.196425623785699	2000
401	-96.72952106499396	8.00165685898631	2000
402	-73.54429933927739	14.169186098292629	2000
403	-47.31008676420339	6.8825062156368455	2000
404	-40.079992443276446	4.943491291373271	2000
405	-40.810757471807456	5.23392857634689	2000
406	-42.149241473500624	6.440734555672836	2000
407	-117.1715433055749	10005.428273312604	65
408	-45.11814198410398	6.934130608862951	2000
409	-47.09909899762512	7.522495453707641	2000
410	-50.21906407961213	7.480323458125016	2000
411	-39.54353249670109	4.947600038933505	2000
412	-34.20389406428701	6.1318843555588005	2000
413	-36.55754171481817	4.093734761284426	2000
414	-51.74457705330733	5.160826497648854	2000
415	-44.338325465075826	5.938398626292348	2000
416	-34.49887324088807	6.792705400428607	2000
417	-37.13823028014467	5.551246333960844	2000
418	-23.057263848618962	5.815212647008969	2000
419	-28.347397722614723	5.050434105022164	2000
420	-41.27932487541986	5.143288579029634	2000
421	-32.517505870635134	6.088051830998275	2000
422	-35.75114960509304	4.596476066106059	2000
423	-35.39713002276203	4.662834808596798	2000
424	-42.68228319546772	5.474353488491569	2000
425	-65.45030419280754	7.742811317878684	2000
426	-41.019698832862716	3.7634763708933683	2000
427	-46.45788065550461	4.593496733112264	2000
428	-74.96044266384831	10.234078733354162	2000
429	-55.19217003661361	6.552899171733895	2000
430	-62.86782026208293	4.354923119025558	2000
431	-74.28977283077462	3.818762308546294	2000
432	-45.55790553870336	3.924696503382784	2000
433	-36.31755767001131	5.187967277953633	2000
434	-36.22297159289424	3.5241903549747557	2000
435	-37.35052363947858	4.217042176967743	2000
436	-35.9779760058911	3.2652856783268076	2000
437	-41.44349534391737	3.3918387889641024	2000
438	-38.677114123277946	3.6886376004459334	2000
439	-41.45922638932831	4.852483293843949	2000
440	-28.450028194910598	4.770838481139995	2000
441	-30.254295445932517	5.220333475257268	2000
442	-36.307778232337796	5.423553943590206	2000
443	-30.29567151043872	3.430755581544788	2000
444	-38.38283883155748	5.681333648137838	2000
445	-42.554096226417975	4.24149748402933	2000
446	-39.609046951736886	5.838340496892113	2000
447	-70.54784228135809	3.3587338128764577	2000
448	-76.02997857217915	3.494311768580798	2000
